country,Your age:,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,What makes a dog in this video?,What a dog feels on this video?,"Evaluate how its positive emotion on a scale of 1 to 5? (1-negative, 5 - positive)",Why did you put it this rating?,"Is there a difference between these two video and, if so, what is it?",Please write here any comments / opinion on animals interacting with tablet computers and their potential benefits / impact on the behavior of the dog:
Russia,54,dog Owner,"tablet with electronic bunny. Wallpaper ""Wallpaper"" imitating the floor and light point","plays, trying to catch the bunny","In pevye minutes behaves cautiously, then actively begins to catch plays, and then the active movements paws trying to catch and irritated",erases stains arising,"Excitement, hunting instinct",5,"Develops dog's attention, reaction","Yes. In the first game of the passive surveillance, and the second active part and the result as endangered spots at the paws of the dog","I believe that carefully selected for a particular game the dog is helpful. But the choice of these games should be held with experts advice. Just as with any training that solves a specific problem. These games can be a tiring and soothe, or vice versa"
Israel,39,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",York plays iPads in cat game,"Responds to the ball: it is trying to catch him, to move, then it bounces when moving it. Those. she sees it as a real-life, not as a picture. Once looking at the owner / operator. At the end leaves.","First attempts to ""explain"" the ball, game-hunting behavior. At some point play tired.","Knocks paws on the tablet. It seems to me that the first wants to touch the moving element (mouse?), But left traces of intrigue and knocks them already paws.",hunting for excitement,4,"Emotions are strong, stronger than in the previous video, but more towards hunting in my opinion. I find it hard to judge the positivity of the hunting dogs have emotions, but I think they are not completely positive. Most suspense than joyful.","Yes, the difference is significant. In the first dog ""fun"", the second ""immersed"".","It seems to me that the plates can enrich the lives of dogs and cats, especially when for some reason the owners can not devote much time to walks (dogs) -training - games with the owner. The tablet takes up less space than the actual toy and may contain a lot of different games. On the other hand no such important components as the smell and touch, ie, returns a few one-sided. And if the people vision / hearing the most important, it is important for the dog smells stronger. In my opinion for cats tablet game more interesting and enriching than for dogs. Perhaps the birds (parrots) will also be interesting, as long as beak does not decide to try."
Belarus,40,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing,trying to catch a moving dot on the screen,she is interested,"""Tears up"" tablet",stress,1,I do not see joy,"There is. In the first case the dog investigated an unusual thing, trying to get that moving. It was not overexcited. Only not received a ""mining"" for their actions. No fees. In the second dog is brought to a stress.","My dogs were seen in the study of the tablet, or computer. They are not interested even video with moving dogs. But they can react to the barking of others. Dogs from the computer. Use questionable. Yes. ;) A cell phone was a dog chew. (Bitten) Because of boredom.)))"
Russia,41,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","My little dog playing in these toys))) it is simply a maniac gadzhitov! This is a game for cats, such as a laser pointer.",Catches of the laser light spot.,She hunts)),"He is trying to catch a mouse, to squealing oraya",overexcitement,3,The same answer as the first video,The first game less emotional than the second.,"My little dog is unlike the older, strongly interested in all kinds of phones or tablets similar to them. I can not say how much it is useful, I think probably not helpful. So personally, my dog ​​has a strong perevozbuzhlenie, which is then difficult to soothe. She does not respond to normal toys."
Russia,27,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",the modern game Modern dogs,plays with virtual reality,"she does not understand that it is played, but it is keen",playing a virtual reality,"excitement, discontent that drips and can not to drip",3,"I like to like but no satisfaction, and will not be",not much difference,"I am against such a game, you need to pay real attention to the dog"
Russia,36,The expert / professional,playing behavior,Catches sunbeams.,Overexcitation.,Playing.,Frustration.,2,Dogs like to chase the point. But she is under stress due to not meeting the hunting behavior.,The second stress the dog is stronger.,Dogs are very much excited chasing for points. They can not meet until the end of the hunting behavior. This behavior may cause problems.
Russia,26,Vet,"The dog responds to the moving object, the same reaction would have been, if only razdrozhitel rrosto was on the floor.",Trying to catch the razdrozhitel,The dog comes to excitement,Trying to catch the stimulus,Excitation,2,Stress has no positive emotions,No,"Uses not watch, I see rastrojstvo psyche that in the future will affect the dog"
USA,31,dog Owner,Dog tries to play a moving point on the tablet,"Dog tries to catch a moving point, as some animals react to a laser pointer",She fixate on a point which can not catch,"She was obviously in a bad mental state, but I do not really understand why she was digging",Stress,1,From the way she breathes,"The second video seemed to me much more problematic than the first. The first dog has somehow distracted from the screen, staring at his master, wagging its tail, while the second dog is clearly in a very bad psychological state","We tried several times to show something of our dog on a tablet, but it is absolutely not interested in it. I was very curious to see what some dogs quite differently react to it."
Ukraine,25,basic zoopsychology,It shows how to tease the dog,disconsolately trying to deal with the stimulus,"Dog keen but nervous, trying to ""catch"" the ball","frenetic batters to the plate, being almost in the heat of passion. mechanical action, without any criticism of what is happening",strong distress. his psychological and physiological manifestations,1,"absolutely dreadful dog's reaction to the tablet and ""play""","the difference - in the reaction of the animal and its power.
 the first video the dog interested in what is happening. behaves adequately happening (interest, fear, frustration), considering their actions. seeking support from human / monitor his reaction.
 the second video the dog does not think about their actions, responding excessive excitation, bringing themselves into a frenzy and fatigue. it does not follow the ""game"" (without having the experience of winning in this game), and tries to destroy the stimulus tablet.","the first time I saw such a strong reaction (ie a situation where a person is clearly a systematic ""plays"" with the animal. * dog brought to such a state as the second video *) and experience strong resentment and a very negative attitude towards such ""games"".
 sorry, some game. incredible form of self-centeredness. and sadism.
 I see two options for the consequences of such games / influence behavior:
 - Irritation, aggression, stress, reaching the critical forms;
 - Demoralization, learning failures, reduced confidence, frustration, apathy.
 
 difficult to switch to the time of use.
 if we talk about the potentially beneficial effects, it is the only thing that comes to mind is to work with any underlying neurological disorders at some stage (simple animation - focus look, attracting attention and his subsequent confinement, for instance). but I want to emphasize that it is a short work on the initial stages of rehabilitation / development, for example. and without the direct interaction of the animal with the tablet.
 in truth, this fantasy rather ""grind"". to anything useful)
 not sure if there is a request for such automation human action and that it is still harmless to the animal.
 in general, in relation to the animal world technogenic progress it should be sent except to the development of our knowledge of nature and, in fact, animals. as well as the attempts of our selfless and environmentally friendly means of animals and nature in general."
Russia,26,beginner,Dog tries to catch some thing on the plate,plays,her little scary,that the extracts from the plate,"psyche, nervous",1,bad when the dog is nervous,"Yes. dogs behave differently. the first dog to be interesting, in the second it is under stress",bad for the tablet))) you can entertain different dog toys on the tablet
Russia,36,The expert / professional,"The plate on which the moving figure, and a dog who tries to touch the figure paw and teeth","Trying to touch the figure paw and teeth, and then looks at the man who shoots video.",She does not understand that this,Digging to make quick movements.,the need to dig again and again,3,"I do not see the emotions, I think this is the case when the pleasure and reinforcement are separated. She gets reinforcement, but does not enjoy.","There is. There are two different behaviors in the first case, it is estimated the reaction in the second - compulsive behavior.",I think it could be interesting to show the dog once and see how it reacts. But this should not be a way to take the dog in the absence of the owner.
Ukraine,31,dog Owner,dog playing,plays: trying to catch the light circle,dog clearly keen,vigorously strikes paws on the surface,much keen and excited,4,"hard to say (to evaluate the spectrum of emotions), but rather to the positive","there is. in dogs of reaction, degree of perception and impact, so to speak. different dogs involved in the game.","a new and interesting topic. but I think that each case is different: one dog will play, interested, and on the other computer devices can act negatively, stimulating excessive nervous excitement and tension."
UKRAINE,39,The expert / professional,dog Game,Playing,Useful psychological work and brain development,Perhaps he is trying to bury that it irritates,Irritation,1,"Heavily breathing nervously, nervous movements and sharp tail rastroennyh lowered, inadequate overstretched all muscles of the body and muzzle","For me, the difference is huge: in the psychological condition of the dog at the time of the action and the consequences of the impact on the psyche.",Need for well thought-out approach individual approach with respect to different psychological types and behaviors of dogs
Ukraine,29,dog Owner,"dog, whose owners planted a tablet",He is trying to track the movement of,nervous and hunts,He tries to attack an unknown stimulus,irritation,2,"irritation, too, does not increase the balance and well-being","The second dog responds to the tablet less confusion, but more agresivno","People offering plates animals that originally kak-to themselves showed no inclinations to it (I can imagine an experiment where, for example, a monkey will gently (!) Train komunitsirovat using tablets or chego-to such), I would suggest the first get into flying saucers, if ever to come back to the ground and watch how they themselves would be comfortable with an unknown technology and ideas that they can not mind."
Ukraine,26,beginner,"Dog plays with the tablet, which included a video or an application","He is trying to catch the white point, which moves on the screen",It amuses),madly and passionately batters paws on the screen,sobanya happy,5,I have empathy! I'd like to be as happy as this dog),dogs in temperament,"you need to consult with experts on the behavior of the dogs of course, but I would not be very calm for the fate of all of their devices with a touchscreen. The dog saw mobile phone or tablet with a touch screen - and began pounding paws! So I would recommend to make a similar toy for dogs does not look like a human tablet. A game for dogs - a good idea"
Russia,42,dog Owner,dog interest,Dog tries to catch the moving point,she catches sunbeams,paws nervously knocking the plate,nervoznoznost,1,I have the same impression,"but the difference is obvious, in the first case, the dog plays with interest, but she is not nervous in the second case the dog is clearly excited and zatsikliny","it all depends on the characteristics of the psyche of each dog, for one is harmless and fun, and for another - very exciting and unnerving."
Estonia,32,dog Owner,"ekran, gde dvizetsja tocka","zainteresovanna, pitaetsa poimat","nekoe vozbuzdenie, interes, azart","kopaet, pitaetsja poimat","azart, vostorg",1,"dlja dannoi sobaki bilo b poleznee bolee spokoinie igri, na nervnuju sistemu uze idet gipervozbuzenie","Est! Na pervom video sobaka zainteresovanna, no net boljnogo sostojanija vozbudimosti.Na vtorom video sobaka legko vozbudimaja ili s uze problemnoi psihikoi.Podobnie igri takogo tipa sobakam ne podhodjat!","Na moi vzgljad sobake namnogo poleznee razvivajuwie igri.A igri s planwetami, eto prosto povod pohohotat nad zivotnim.Mne podobnoe ne nravitsja, kakoe to izdevatelstvo nad pesikami"
Russia,24,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing the game on the tablet,pulls out ball,entertain,dig,Excitation,3,"The dog does not feel aggression, but does not show ingenuity",Yes. In the first video it seems that the dog goes deliberately,You can use the planet to the development of the dog's intelligence
Ukraine,26,dog Owner,Dog plays with the tablet,Dog plays with the tablet,hilarious,Dog playing with tablet,Interest,5,Dog Artist,"There, the second dog is more active",I believe that there is no harm from the interaction
Ukraine,26,dog Owner,Dog plays with the tablet,Dog plays with the tablet,hilarious,Dog playing with tablet,Interest,5,Dog Artist,"There, the second dog is more active",I believe that there is no harm from the interaction
Russia,28,dog Owner,As the dog plays cat game on the tablet,Trying to catch a virtual production,The dog is interested,Attempts to extract the audio from the plate,rampage,2,"Dog trying to extract sounds from the plate, but does not look for a rational approach","Yes, on the first video the dog is more focused on the image on the second very excited removing sounds, my dog ​​play in a similar way squeaky toy","My opinion: tablets are not helpful for dogs, as well as for children. In my opinion, they can cause gambling addiction and overexcite nervous system of dogs"
Russia,29,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog interested in moving objects on the screen of the tablet lying on the floor and tries to interact with it,dog paws avail scraping plate and poked him in the nose in an attempt to catch a moving spot,"when a moving object enters the field of view molyavki gradually increased her physical and emotional tone, the dog focuses on the spot, active paws and nose, slowly, not reaching any particular outcome of interest is reduced, along with physical activity, and the dog goes away.",He is trying to interact with a moving object on the screen.,Dog is going through stress,1,game exhausts the nervous system of the dog,"The difference in the degree of impact on sobaku.V the first case, it is only the visual channel, in the second there podkreplenie.Intensivnost auditory responses dogs too raznaya.Vo second case the dog is overly excited.",Games for dogs on the plates must develop the mental abilities of the dog and not to rely exclusively on instinctive reactions caused her refleksami.Tak the game should please the dog and have a clear positive result for her. I'm not sure that it is possible to make a game that could have a dog for a long time to play with one tablet.
Russia,33,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog Game,Dog plays with the point on the tablet screen,She enthusiastically watching point on the tablet screen and trying to trace the reaction point to touch her paw,"Scratching claws on the screen, leaving a trace of paws, trying to put pressure on her to run away from the point","Excitement, joy",5,The dog obviously in high spirits,Yes. In the second video link between a dog and activity is happening on the screen of the tablet is less clearly defined.,"It is a good toy for dogs. Dogs can be trained to respond to on Skype, calm them down, if the owner is not at home for a long time, check whether everything is okay with them. Also it is a good toy for hygienic brain. The response to the instantaneous, the dogs love it"
Russian Federation,26 years,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog offered an electronic device and turned the game.,Attempts to take over a moving target.,She is interested and confused.,interacting with the tablet dog gets sound,She's like a wild,2,Body language does not show positive emotions,the second video the dog is not the first time users of the tablet. In the first video - familiarity with the device.,I was taught that a dog needs to interact with the host only. Only because of this communication can be benefit for the dog and owner. I do not see any benefit from its interaction with the electronic device. Without supervision washes lead to nibble other equipment.
Russia,33,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog Game,Dog plays with the point on the tablet screen,She enthusiastically watching point on the tablet screen and trying to trace the reaction point to touch her paw,"Scratching claws on the screen, leaving a trace of paws, trying to put pressure on her to run away from the point","Excitement, joy",5,The dog obviously in high spirits,Yes. In the second video link between a dog and activity is happening on the screen of the tablet is less clearly defined.,"It is a good toy for dogs. Dogs can be trained to respond to on Skype, calm them down, if the owner is not at home for a long time, check whether everything is okay with them. Also it is a good toy for hygienic brain. The response to the instantaneous, the dogs love it"
Russia,27,dog Owner,Dog playing in the tablet,Dog playing in the tablet,Playing,Dog playing in the tablet,furious,5,Dog in great agitation,"The first game of logic, the second just rages","I prefer to deal with a dog on their own, without the help of electronic toys. I think it's better for the dog psyche."
Israel,56,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog who is interested in the movements of ekrnane,Trying to catch a moving object,She was clearly involved in the game,"Hammer paws on the screen, no longer aware of where the object actually moves",overexcitement,2,A little more and the dog falls into a depression due to the inability to stop the object,This is a dog with a different threshold of excitability,"These games are good, but they need to be dosed at the time, and monitor the reaction of your pet. By the way, I download the app and check on her 9-month York."
Russia,46,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog ""catches"" the point on the screen",He is trying to step on his paw escaping from her point,"The dog loses interest, because to cope with the problem can not be",Dog digs tablet,I do not know,4,"dog, like, interesting","In the first video, the dog is not satisfied, because come to the point she could not, and in the second, it is to play and when she was tired, the game is immediately over, ie, she adjusts the start and end of the game.","I do not like the idea of ​​a tablet video for dogs, I think they are not useful to them"
Russia,40,dog Owner,Some ball and voice of football or some other sport,He is trying to play with this ball,Emotional outbursts and a desire to play with this ball,dig,Excitation,3,Strong rereadings from an emotions surge to the inability to bring the action to the end.,The first video is less emotionally. The dog understands what action it performs. In the second video -no,I never encountered.
RF,40,The expert / professional,"Dog plays with the light beam. The principle of a laser pointer. The beam is not only the top, because not a dog does not lose sight of him bowing his head to it. And if a beam is not in the hands of man, then this toy dog ​​can be accessed at any time, regardless of where the host is located.",Playing,He engaged in business,Playing,passion,5,She is happy,The difference in the dog's temperament and paw prints on the screen.,"None of the electronic device can not replace the dialogue live, but this is our life. And the best dog will be busy with a toy than carry home in the absence of the owners."
Austria,49,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with an electronic toy,"Iraheta, catches a moving image",Hunts,Scratching the screen,passion,5,The hunting instinct is probably the inflow of energy,In the second video I poazalas dog more aggressive,I am not a supporter of the plates or screens in connection with the dog. It seems to me that this could harm the health of the dog.
Ukraine,40,dog Owner,dog interested in the subject that moves on the screen,watches and catches the running around the object perceived by sight,it is able excitement plays,occupied by an obsession to stop the movement on the screen,a desire to stop the movement on the screen,1,the dog can not see any benefit,"the difference is obvious, a dog like that kind of game, the other does not - they have different mentality and temperament.","it is not necessary to replace ""live"" games and chat with the dog like toys, for the lazy owner of this option may, but ultimately we can get a dog-neurotic, fixated on this lesson. it's better to drip hole in the flower garden, developing and satisfying nature inherent instincts."
Russia,31,dog Owner,The dog tries to grab an object moving on the screen of the tablet.,The dog tries to grab an object moving on the screen of the tablet,She tries to grab and does not understand why it is impossible,Dog paws like a mad batters at the plate.,"Agitation, Agitated",1,"This is not a smooth calm emotions, it is not positive as joy, but some unhealthy excitement.","I think in the second video more experienced in such games dog, she has willingly thrown pounding feet, and in the first - was at a loss due to inexperience.","I think the benefit is not and can not. In these games there is no tangible, tangible bodies of sense gratification. There is no smell, no taste, no feeling. Due to the lack of satisfaction there is an unhealthy excitement."
Ukraine,46,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",intellectual game,explores new item,"explores, learns new thinking, developing, growing",against human would say - hysteria,"stress, irritation, and in some degree of aggression, dissatisfaction",1,Dog in stress or use of any positive,this as two mathematical symbols - plus (benefits) and minus (harm),excitable animal toys are recommended only in the presence of hosts and the time limit depending on the behavior and reactions.
RF,36,dog Owner,Dog playing the game on the tablet),Attempts to control the ball,capture,catches mouse,Confidence and interest,5,"The dog likes what she does, she turns and it brings her satisfaction","In the second video, the dog sees the result.",I think it is promising)
Russia,31,The expert / professional,Dog hunts for bright moving spot.,He wants to catch erratically moving spot (as if it's a bug or another something alive),"She is keen on ""hunting"".","Dog skrebёt screen, apparently trying to get something out of it.",It seems to me that the dog is under stress. The desire to get something out of the tablet has become an obsession.,2,"She breathes heavily, tongue protruding, lips drawn.","There is. Dog on the first video is in a balanced mental state, she feels positive emotions. Dog on the second video is in a state of stress.","They may for a time to entertain the dog when the owner had once paid her attention. Maybe they will play a positive role for the dog when the owner goes to work for a long time, leaving a pet alone. But they are in no case should not replace a full-fledged dialogue with the owner and relatives, walks."
Russia,22,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Playing dog,"He is trying to catch the point, playing with her","She was surprised and interested, her fun",dig tablet,"Nervousness, agitation",3,Emotions on the verge of hysterics,"There is. In the first video the dog enjoys playing. In the second - the dog nervously thresh paws on the tablet, do not understand why it does",I think that is harmful to the dogs interact with the tablet. Better human or another dog companion find
Russia,44,dog Owner,Learning object and trying to understand what it is and how to deal with it ...,Now watching the images and touch screen paw,"Sabak excited. Some of the actions on the screen frighten the dog, but curiosity gets the upper hand.",Dog is scratching excitedly screen,Strong agitation may frustrations,1,Straight road to stress,"The first video shows a dog different emotions: excitement, fear, curiosity. I suppose that this is the first experience. In the second video the dog more excited and I can imagine that she has experience with the tablet, so she quickly vozbuzhdaetsya. Probably host heals this behavior, since he posted this video.","I took my dog ​​outside. She was in a state of extreme stress. State anxiety was able to significantly reduce, but not to win at all. Its on the first of many scares, therefore I am against any razdrazhiteteley, which adversely affect the dog's psyche. As such, from the point of view of a person playing, the dog will never win and get nothing but negative emotions."
Russia,thirty,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the tablet,paw trying to catch a moving bright dot on the screen,"she plays at the end of a few puzzled / annoyed look, so how to get the ball running around it did not succeed",Dog fighting with the enemies in the plate,"she is excited, enraged even some with respect to the ""enemies"" in the plate",2,Particularly positive I did not see anything,"In the first case, the dog played and tried to destroy in the second plate","In general, I do not think that it is harmful. Rather some extra fun for dogs. I see, for example, a movie on the tablet and my dog ​​happy is attached near and also looking. Thus barks animals that appear there. Games on the plate I did not try, but after watching the video data, is now going to experiment on his dog."
Russia,34,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Game animals on the plate,catches point,"She plays, she is excited",Dog tries to catch something and nervous of what can not do,nervous,2,A dog under stress,"There, the second dog overexcited","I think it is similar to a laser pointer. Dogs need to learn to play these games, to avoid overstimulation. Maybe not all of them fit"
Russia,33,The expert / professional,I hope you will tell us why the test,overexcite,overexcite,the same as in the first,Nothing,3,Just,no,"New techniques with interactive toys that can be set up, but works with a man there, plus excessive excitement."
Russia,27,dog Owner,"Dog plays with the light spot, as some dogs are playing with a laser pointer",Dog tries to catch the light spot,"Dog plays, hunts",Scratch paws tablet screen,nervous,1,Why deliberately cause stress in dogs? This is a bad game for this dog,"There is a difference. In relation to dogs to play on the tablet. One dog has a normal attitude, the other nervous","If the game or event on the screen does not cause the dog's negative emotions, why not use these things for the animal entertainment? Not only need to bend, you need to constantly monitor the behavior of the dog and clean up these games, if necessary, or may reject completely, if the dog is nervous"
Russia,34,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",on the screen of the tablet runs speck,"Trying to catch a spot on the tablet screen, plays with it",she is trying to catch something that is impossible to catch,He is trying to get rid of the stain,she was very frustrated by the fact that he could not get rid of the stain,1,She digs vigorously tablet and publishes whining sounds,"In the first case the dog rather amusing happens, in the second - irritated","I have no opinion on this issue, mainly dogs, with whom I talked, did not pay attention to the screens of computers and even televisions. They are even in the mirror does not always himself noticed."
Russia,44,dog Owner,The dog with the tablet,He is trying to take the ball,nervous,Playing,ebullition,4,She was waiting for this game and having fun playing,"There, the first negative to the dog, the second positive","If happy, pleasure, positive interest the fact it's good"
Russia,25,dog Owner,dog's interaction with the game on the tablet,"He is trying to understand where there is a moving object, trying to catch him","Dog puzzled, thinking, interested in moving object on the screen of the tablet, but due to the fact that it can not touch and feel (touch) displays moving object uncertainty","Dog tries to get ""out of the tablet"" a moving object","Overexcited dog, in the ""game"" it is strongly excited",2,"Overexcited state in my opinion can not be held for the benefit of the dog, but rather a negative impact on her psyche and behavior","In the first video the dog manifested interest and thus it is not in the overexcited state, in the second video the dog on the type of ""moving object"" comes in a very excited state.","It depends on the specific games of how the dog reacts with such electronic devices, as well as targets in accordance with which the dog is allowed to react with such devices. So it all depends on the individual dog and its temperament, age. Interactions with special computer programs designed to train dogs, to improve her any skills or to study the brains of the dog's ability undoubtedly are benefits both for the dog (which is the right approach to train and develop), and for a man, because it gets more detailed knowledge. Interaction of dogs with this type of games such as represented in the survey can also be useful in my opinion, but only in the case where there is under a specific purpose and is supervised by the owner (or the handler or another person responsible for what is happening). This is necessary in my opinion, in order to extract a positive effect on the interaction of the dog and the electronic device, and to make sure that the dog it carries benefit, not harm (such as the second video) can by means of this kind of games to teach the dog touch paw subject team, to learn to move the dog paw ""moving object"" in the game in a certain side (allows the possibility of the game), and come up with different algorithms of interaction of dogs with this kind of games, and then such vzaimodestvie will be bringing a dog favor, as this will be more mental load + mental development because previously this type of action the dog was not involved and did not study) Therefore, with proper approach and the development of proper electronic games for dogs, modern technology will be able to take another step in the development and study of dog psychology and dog rzvitiya itself)"
Russia,42,dog Owner,Dog playing on a tablet,Catches sunbeam,Playing,catches mouse,Joy,5,It seems so to me,No,I can not answer this question
Russia,26,dog Owner,Dog tries to catch escaping from her target.,Playing,"She feels the excitement, interest, excitement that goes with the understanding that the purpose of it is impossible to catch","Hard to say, what is the meaning of her behavior, but I think that the game can not be called, because it seems that the dog does not understand what she was doing",overexcitement,1,All her emotions experienced by negative interaction with the tablet,"Yes there is. In the first video dog playing with the tablet, the second not.","These games can help develop the mental abilities of the dog, but not all games for a tablet are equally useful for all dogs."
Russia,'54,dog Owner,Dog running after the cursor on the tablet,Second video is not found,Dog playing,Trying to catch kruglyashi.,Fun.,4,On the street with another dog or the owner may have been more fun.,The second dog is increasingly playing.,The main thing is that the dog has not started Gladau tablet. My I would just begun.
Russia,49,dog Owner,the dog perceives the image on the tablet,Dog plays with the ball on a plate,She is interested,Dog playing,Dog interesting,4,The dog carries very sound and rapid movement of the object,"Yes, the presence of sound in the second case and the speed of the object, but so must the nature of dogs","It seems to me better than the real toys tablet, say electronic little animals, but in reality"
Russia,28,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog and tablet,Playing,She natolkaetsya interest and playful mood,"Furiously hammer over the screen, leaving their electronic footprints",passion,2,She was too overexcited,"The first video of cognitive, developmental. second there",I am against zhiaooeyh interaction with technology. Dogs especially need to communicate with a man playing with toys.
Latvia,27,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","dog, cat playing in the game for ipad","He is trying to catch the point, running across the screen","it seems to her that from her point of running away, and she tries to catch the point",digs aypeda,"arousal, excitement",4,"the dog is active, excited, straining the brain and body to solve the problem, but the problem is not solved","In the first video the dog calmer, less interested, perhaps, or at least irritated. Her actions do not lead to the desired result, and she leaves. But it is somewhat loaded the your brain, trying to solve the problem. In the second video the dog more excited, furiously trying to dig a hole / production control, long does not give up, does not analyze what her actions come to nothing lead, perhaps resets accumulated tension ...","For large dogs such games represent bad - too small screen, you can only play with one paw, and then, it will take just half of the screen. Screen Protection also questionable - claws and paws punches can not only damage the coating with a very high coefficient of resistance, especially if the dog will go into a rage as the second video. The benefit of such games can be seen in the fact that the dog is somehow load the brain and body, if it is not available Active interesting walks in the street with the ability to hunt these mice / birds / bugs, dig these holes, and so on. If the dog constantly sitting indoors then it may be of interest to this game, as an alternative to real life."
Russia,36,dog Owner,dog playing a game on the tablet,catching bright spot,plays,plays,"excitement, fatigue",3,"too overexcited, tired","Second video added sound, appearing and disappearing footprints.","1.frustratsiya because of the inability to grasp the subject at least sometimes,
 2. odorless persecuted accustom not rely on sense of smell,
 3. excitement and nervousness due to inability to ""defeat the enemy""."
Russia,40,dog Owner,"York plays ""cat"" game on the tablet",catches moves point,"I think on the one hand interested in dog play, and on the other wonders why can not grasp a moving object","randomly ""digs"" tablet","frustration. similar to the displacement activity, it is not clear why such a violent reaction on the spot on the screen",2,dog clearly tiring of her reaction to the toy,"the difference is that the first video the dog interested and trying to play, monitor the movement of targets, and generally expressed interest, and the second video frantic behavior (although I personally do not understand what's happening on the screen and what you need to do a dog, perhaps it is this caused this behavior)","in general, I think the potential in this cooperation there, but rather in the more intellectual games, but again, when interacting with tablets activated only one or two sensory organ, and such is important as the sense of smell is not, as motility is involved is one-dimensional - to poke his nose or paw, and take for example can not. But it probably can be solved by connecting the computer to any mechanical adapt. And yet it seems to me all dogs convenient to look forward to a flat image. The main thing that it was not a substitute for the normal development of games and, as it became in many children)"
Russia,19,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog tries to interact with the image on iPads,"""_""",-,Playing,"""Joy""",5,The dog very strongly interacts with the tablet,The second video is more clearly visible positive dog's emotions rather than simple curiosity,Perhaps in this way even be able to create some training programs for dogs
Russia,21,The expert / professional,It is shown that a single dog game,Playing a moving point on the tablet screen,"The dog is interested, she likes to play in a similar way","Playing more readily, although it is possible and trying to ""kill"" facility",passion,2,"Emotions are caused by excessive stimulation, not too positive",There is a difference. With respect to animals to a moving object,"In principle, as fun for 5-10 minutes a game goes, but no more."
Israel,54,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","extremely concerned dog interacts ""plays"" with Computers","dog trying to get a light bulb, moving on
 
 computer screen.","the dog is very focused on the action, it is interesting, it is hardly distracted, when she was called, she raised her head and waved her tail, but then returned to his task. She is happy, but somewhat wary, behavior reminiscent of hunting.","Dog in the excited state repeats the same deystviya.Sobaka not watching what is happening on the screen. She does not play in the mouse, similar to the stereotype or taught actions","Excitement, fatigue,",3,"I do not see joy, tail lowered. But irritation is not noticeable.",The difference in the emotional and physical condition of dogs. And the benefits of this training for the two temperaments.,"Playing as an occupation-good. But there is no physical contact, can cause confusion, frustration. No process is complete, the dog will not get the expected, it reduces the predictability of the situation that bad. I do not think that dog will approach the virtual bonuses. It may lead to overstimulation and distress?"
South Korea,39,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the moving bunny on the tablet screen,Playing (trying to catch the bunny),She is excited game and swallowed it,He gets his paws on the screen at a high pace poanscheta,"Mechanically performs movement. It seems to me, it does not have the goal to catch balls",2,Here what that mechanic rather than a natural process of hunting. Something like this.,In the first video the dog imennl played and hunted. In VTOO video of this process was not.,I think to a certain extent this interaction is useful
RF,thirty,dog Owner,"The hosts mock tablet, hoping to soon throw. Claws on the screen is cruel","plays, explores",she was interested,plays,passion,3,I think so,"There is. In the first case, the dog learns to observe, in the second only a warm-up for paws",-
Russia,41,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with an object on the tablet,"He is trying to hunt on a moving point, shown on the tablet","The dog is interested, excited, but not overly so - reacts to man.",Trying to dig up the object,Can not understand why the unattainable object for her.,1,"The dog breathes, looks around nervously.","YES, the difference in a state of dogs is obvious.","It seems to me that even in the case of a dog with an adequate state of the game with virtual objects is undesirable, because the dog can not complete the process of ""hunting"". In my opinion, much more useful toys and puzzles, where the dog can eventually get the desired object, ""try on a tooth"""
Russia,52,dog Owner,dog Game,Catches the ball on a plate,The dog sees the ball and catches it,Dog sees footprints and catches them,rampage,5,The dog seems to like her occupation,"There is a difference. In the second video, the dog is much stronger excitation. But it may depend on the dog's temperament.","Perhaps you can use the tablet as a toy for the dog, but more calmly to these games took place."
